Region,Year,Crop,Area planted (ha),Production,Yield
FATICK,2017,Fonio,0,0,0
FATICK,2018,Fonio,,,0
KAFFRINE,2016,Fonio,0,0,0
KAFFRINE,2019,Fonio,0,0,0
KAFFRINE,2017,Cowpea,4240,1767,0.3828
KAFFRINE,2018,Cowpea,1564,631,0.4433
KAFFRINE,2017,Sesame,10961,4551,0.4565
KAFFRINE,2018,Sesame,18778,9597,0.5621
KAFFRINE,2016,Rice,607,478,0.8657
KAFFRINE,2017,Rice,675,592,0.9636
KAFFRINE,2017,Sorghum,49386,43854,0.9768
KAFFRINE,2017,Peanut,159670,144395,0.9944
KAFFRINE,2017,Millet,121217,113862,1.0329
KAFFRINE,2016,Millet,118357,113926,1.0593
KAFFRINE,2019,Rice,289,289,1.1
KAFFRINE,2018,Rice,660,708,1.1803
KAFFRINE,2018,Millet,134112,145843,1.1957
KAFFRINE,2018,Sorghum,54489,59957,1.21
KAFFRINE,2016,Sorghum,44896,51618,1.265
KAFFRINE,2018,Peanut,200465,253483,1.3904
KAFFRINE,2018,Maize,31676,48559,1.6863
KAFFRINE,2016,Sesame,10423,4303,1.7633
KAFFRINE,2016,Cowpea,638,313,2.0262
KAFFRINE,2017,Maize,54587,117198,2.3617
KAFFRINE,2019,Sesame,20723,10502,2.42
KAFFRINE,2019,Cowpea,2549,1399,2.7764
KAFFRINE,2016,Peanut,206909,206909,4.2218
KAFFRINE,2016,Maize,49624,65294,5.643
KAFFRINE,2019,Millet,154147,204340,5.7596
KAFFRINE,2019,Peanut,209100,272570,5.83
KAFFRINE,2019,Sorghum,58988,78419,5.8718
KAFFRINE,2019,Maize,36130,64084,7.7946
KAFFRINE,2017,Cassava,308,2496,8.9254
KAFFRINE,2018,Cassava,309,3646,12.9734
KAFFRINE,2016,Cassava,785,4712,13.2
KAFFRINE,2017,Watermelon,878,14934,18.7
KAFFRINE,2019,Cassava,354,2909,26.6662
KAFFRINE,2018,Watermelon,6313,159635,27.8157
KAFFRINE,2016,Watermelon,3537,60126,56.1
KAFFRINE,2019,Watermelon,7645,204264,104.5
KAFFRINE,2017,Fonio,0,0,0
KAFFRINE,2018,Fonio,,,0
KAOLACK,2016,Fonio,0,0,0
KAOLACK,2019,Fonio,0,0,0
KAOLACK,2018,Sesame,358,171,0.5269
KAOLACK,2018,Cowpea,1218,621,0.561
KAOLACK,2017,Sesame,387,200,0.5676
KAOLACK,2017,Cowpea,2788,20,0.6974
KAOLACK,2016,Sorghum,16417,10491,0.7029
KAOLACK,2017,Peanut,135987,114143,0.9229
KAOLACK,2017,Millet,155535,131054,0.9273
KAOLACK,2016,Millet,150910,133626,0.9735
KAOLACK,2017,Sorghum,18058,16183,0.9856
KAOLACK,2018,Sorghum,9610,9660,1.1055
KAOLACK,2018,Millet,132838,152011,1.2584
KAOLACK,2016,Sesame,352,211,1.32
KAOLACK,2018,Peanut,159120,211104,1.4597
KAOLACK,2019,Sesame,604,286,1.76
KAOLACK,2017,Rice,1900,3315,1.9195
KAOLACK,2017,Maize,25185,45038,1.9668
KAOLACK,2018,Maize,34018,64890,2.0988
KAOLACK,2018,Rice,2316,4431,2.1054
KAOLACK,2019,Cowpea,2298,1541,2.222
KAOLACK,2016,Cowpea,2534,1706,2.233
KAOLACK,2019,Sorghum,13147,12777,3.1801
KAOLACK,2016,Rice,1900,5525,3.1988
KAOLACK,2016,Peanut,118842,118842,3.4452
KAOLACK,2019,Rice,2050,3325,3.619
KAOLACK,2019,Millet,132252,167275,3.8885
KAOLACK,2019,Peanut,169843,223001,3.905
KAOLACK,2016,Maize,22895,37932,6.2436
KAOLACK,2019,Maize,37394,76912,6.4372
KAOLACK,2017,Cassava,3381,57873,18.8287
